distance,rate_level,pab
0,0,0.13213703099510604
0,5,0.2989399293286219
0,10,0.2433314042194981
0,20,0.19237736703557984
0,30,0.14378425959268595
0,50,0.10002263687223102
0,100,0.09989241276078212
0,150,0.04667949951876805
0,200,0.026711715614080683
0,300,0.027545805808301134
1,0,0.08727907484180668
1,5,0.23529411764705882
1,10,0.13410680771199454
1,20,0.10875385159367582
1,30,0.06523740628699198
1,50,0.05098178377099598
1,100,0.04307943194944622
1,150,0.025559105431309903
1,200,0.0165426342688066
1,300,0.013562753036437248
2,0,0.09820031298904539
2,5,0.1702127659574468
2,10,0.10363872644574398
2,20,0.09328137914747904
2,30,0.05210543688404772
2,50,0.032975925551284646
2,100,0.026973684210526316
2,150,0.013151239251390997
2,200,0.013860974426502182
2,300,0.012630930375847197
3,0,0.09777777777777778
3,5,0.12280701754385964
3,10,0.08408071748878924
3,20,0.08974611296988781
3,30,0.035452153441351615
3,50,0.02909090909090909
3,100,0.02148166813657553
3,150,0.01581843191196699
3,200,0.011188355420378014
3,300,0.0058016877637130804
4,0,0.0875
4,5,0.23404255319148937
4,10,0.07952871870397643
4,20,0.09198645598194131
4,30,0.03260448916408669
4,50,0.02763448784082535
4,100,0.01898836457659987
4,150,0.019090909090909092
4,200,0.010069131349564171
4,300,0.011653313911143482
5,0,0.10253164556962026
5,5,0.3333333333333333
5,10,0.07074973600844774
5,20,0.07626427406199021
5,30,0.02842937276899541
5,50,0.018963922294172063
5,100,0.01619761085239927
5,150,0.014285714285714285
5,200,0.008254716981132075
5,300,0.012108980827447022
6,0,0.0780399274047187
6,5,0.15384615384615385
6,10,0.08397932816537468
6,20,0.06733167082294264
6,30,0.02823179791976226
6,50,0.021826536473291212
6,100,0.011935844834017158
6,150,0.01914580265095729
6,200,0.008382642998027613
6,300,0.005509641873278237
7,0,0.09433962264150944
7,5,0.07692307692307693
7,10,0.05732484076433121
7,20,0.062459755312298776
7,30,0.021782618359635474
7,50,0.015770609318996417
7,100,0.013539651837524178
7,150,0.014545454545454545
7,200,0.008732309545317675
7,300,0.01384083044982699
8,0,0.08282208588957055
8,5,0.26666666666666666
8,10,0.08396946564885496
8,20,0.08403361344537816
8,30,0.023143164693218515
8,50,0.014229249011857707
8,100,0.012403379471508179
8,150,0.004024144869215292
8,200,0.00841874084919473
8,300,0.00437636761487965
9,0,0.10116731517509728
9,5,0.1111111111111111
9,10,0.11087420042643924
9,20,0.059961315280464215
9,30,0.0332409972299169
9,50,0.016175071360608945
9,100,0.009327962688149248
9,150,0.01284796573875803
9,200,0.005165733964700818
9,300,0.012987012987012988
10,0,0.09361997226074896
10,5,0.15602836879432624
10,10,0.05631945752495762
10,20,0.05671267252195734
10,30,0.016117338687189783
10,50,0.008648915796626922
10,100,0.0056876693230247626
10,150,0.006535947712418301
10,200,0.0033997612933559986
10,300,0.005145458143677024
